order_item_id,order_id,product_id,quantity,unit_price,discount,discount_pct
ITEM0000001,ORD000001,,2.0,2735.7,0.1,0.1
ITEM0000002,ORD000002,,1.0,4725.29,0.0,0.0
ITEM0000003,ORD000003,,2.0,2816.53,0.1,0.1
ITEM0000004,ORD000003,,1.0,2675.03,0.05,0.05
ITEM0000005,ORD000004,,1.0,2355.92,0.05,0.05
ITEM0000006,ORD000004,,1.0,1267.38,0.0,0.0
ITEM0000007,ORD000005,,1.0,2331.03,0.05,0.05
ITEM0000008,ORD000006,,1.0,984.65,0.05,0.05
ITEM0000009,ORD000006,,2.0,5766.39,0.05,0.05
ITEM0000010,ORD000007,,3.0,9780.07,0.15,0.15
ITEM0000011,ORD000007,,1.0,4500.91,0.0,0.0
ITEM0000012,ORD000008,,1.0,26848.8,0.1,0.1
ITEM0000013,ORD000008,,2.0,21697.52,0.05,0.05
ITEM0000014,ORD000009,,1.0,6015.86,0.1,0.1
ITEM0000015,ORD000009,,3.0,59385.32,0.15,0.15
ITEM0000016,ORD000010,,1.0,7698.51,0.0,0.0
ITEM0000017,ORD000010,,1.0,1934.85,0.05,0.05
ITEM0000018,ORD000010,,3.0,2848.41,0.1,0.1
ITEM0000019,ORD000011,,1.0,6465.74,0.05,0.05
ITEM0000020,ORD000011,,4.0,3947.37,0.1,0.1
ITEM0000021,ORD000012,,1.0,687.97,0.0,0.0
ITEM0000022,ORD000012,,1.0,8667.26,0.0,0.0
ITEM0000023,ORD000012,,1.0,4794.97,0.15,0.15
ITEM0000024,ORD000012,,3.0,371.99,0.1,0.1
ITEM0000025,ORD000012,,5.0,1012.55,0.1,0.1
ITEM0000026,ORD000013,,3.0,2492.05,0.05,0.05
ITEM0000027,ORD000014,,1.0,11444.71,0.1,0.1
ITEM0000028,ORD000015,,1.0,711.98,0.1,0.1
ITEM0000029,ORD000016,,1.0,1285.75,0.1,0.1
ITEM0000030,ORD000016,,4.0,7174.38,0.0,0.0
ITEM0000031,ORD000017,,1.0,3278.5,0.0,0.0
ITEM0000032,ORD000018,,1.0,7374.0,0.0,0.0
ITEM0000033,ORD000019,,2.0,3283.95,0.05,0.05
ITEM0000034,ORD000020,,1.0,4597.99,0.05,0.05
ITEM0000035,ORD000020,,3.0,10313.12,0.1,0.1
ITEM0000036,ORD000021,,1.0,1009.5,0.1,0.1
ITEM0000037,ORD000021,,2.0,368.2,0.0,0.0
ITEM0000038,ORD000022,,3.0,4595.38,0.1,0.1
ITEM0000039,ORD000023,,1.0,2614.97,0.0,0.0
ITEM0000040,ORD000023,,1.0,2554.38,0.15,0.15
ITEM0000041,ORD000024,,1.0,4706.62,0.1,0.1
ITEM0000042,ORD000024,,2.0,4384.86,0.0,0.0
ITEM0000043,ORD000025,,1.0,1024.5,0.0,0.0
ITEM0000044,ORD000026,,1.0,4583.4,0.0,0.0
ITEM0000045,ORD000027,,1.0,6097.26,0.05,0.05
ITEM0000046,ORD000028,,4.0,957.4,0.0,0.0
ITEM0000047,ORD000029,,1.0,105634.67,0.0,0.0
ITEM0000048,ORD000030,,2.0,1294.73,0.2,0.2
ITEM0000049,ORD000031,,3.0,4762.62,0.1,0.1
ITEM0000050,ORD000031,,5.0,7984.77,0.0,0.0
ITEM0000051,ORD000032,,4.0,4674.16,0.1,0.1
ITEM0000052,ORD000032,,1.0,387.5,0.15,0.15
ITEM0000053,ORD000033,,5.0,727.36,0.0,0.0
ITEM0000054,ORD000033,,1.0,4410.23,0.0,0.0
ITEM0000055,ORD000033,,2.0,4659.37,0.2,0.2
ITEM0000056,ORD000034,,2.0,2381.29,0.2,0.2
ITEM0000057,ORD000035,,1.0,676.92,0.1,0.1
ITEM0000058,ORD000035,,2.0,7960.54,0.0,0.0
ITEM0000059,ORD000036,,2.0,9134.89,0.15,0.15
ITEM0000060,ORD000036,,1.0,3068.35,1.2,1.2
ITEM0000061,ORD000036,,1.0,934.84,0.0,0.0
ITEM0000062,ORD000036,,1.0,9873.92,0.05,0.05
ITEM0000063,ORD000037,,2.0,5504.88,0.0,0.0
ITEM0000064,ORD000037,,4.0,5672.78,0.0,0.0
ITEM0000065,ORD000037,,1.0,6887.94,0.0,0.0
ITEM0000066,ORD000037,,1.0,9632.91,0.0,0.0
ITEM0000067,ORD000037,,1.0,63579.35,0.0,0.0
ITEM0000068,ORD000038,,1.0,6682.03,0.1,0.1
ITEM0000069,ORD000038,,1.0,21653.96,0.2,0.2
ITEM0000070,ORD000038,,1.0,918.18,0.0,0.0
ITEM0000071,ORD000039,,4.0,2589.51,0.75,0.75
ITEM0000072,ORD000040,,3.0,13808.52,0.0,0.0
ITEM0000073,ORD000040,,1.0,2335.24,0.0,0.0
ITEM0000074,ORD000040,,1.0,5610.49,0.1,0.1
ITEM0000075,ORD000041,,2.0,3170.77,0.05,0.05
ITEM0000076,ORD000041,,1.0,7642.22,0.2,0.2
ITEM0000077,ORD000042,,2.0,7777.18,0.0,0.0
ITEM0000078,ORD000043,,3.0,952.69,0.1,0.1
ITEM0000079,ORD000043,,2.0,682.96,0.15,0.15
ITEM0000080,ORD000043,,1.0,7396.03,0.0,0.0
