order_id,customer_id,store_id,order_date,order_status,payment_method
ORD000001,,,2024-05-26,Completed,M-Pesa
ORD000002,,,2025-01-21,Completed,M-Pesa
ORD000003,,,2024-07-03,Completed,Card
ORD000004,,,2025-06-19,Completed,M-Pesa
ORD000005,,,2024-10-25,Completed,Card
ORD000006,,,2024-05-05,Completed,Bank Transfer
ORD000007,,,2025-11-16,Completed,M-Pesa
ORD000008,,,2024-02-03,Completed,M-Pesa
ORD000009,,,2025-12-14,Completed,Card
ORD000010,,,2025-11-01,Completed,Cash
ORD000011,,,2024-10-09,Completed,Card
ORD000012,,,2024-01-10,Cancelled,Cash
ORD000013,,,2024-05-24,Completed,Card
ORD000014,,,2025-07-06,Completed,M-Pesa
ORD000015,,,2025-08-09,Completed,M-Pesa
ORD000016,,,2025-05-19,Completed,Card
ORD000017,,,2025-10-29,Cancelled,Cash
ORD000018,,,2024-03-06,Completed,Card
ORD000019,,,2024-04-28,Completed,Bank Transfer
ORD000020,,,2024-02-18,Completed,M-Pesa
ORD000021,,,2025-04-03,Completed,M-Pesa
ORD000022,,,2024-12-05,Completed,M-Pesa
ORD000023,,,2024-10-17,Completed,Bank Transfer
ORD000024,,,2025-04-05,Completed,M-Pesa
ORD000025,,,2024-07-17,Completed,M-Pesa
ORD000026,,,2025-03-10,Completed,Cash
ORD000027,,,2025-07-27,Completed,M-Pesa
ORD000028,,,2024-04-25,Completed,M-Pesa
ORD000029,,,2025-03-05,Completed,Card
ORD000030,,,2025-08-10,Completed,Card
ORD000031,,,2025-12-27,Returned,M-Pesa
ORD000032,,,2025-01-16,Completed,M-Pesa
ORD000033,,,2024-03-26,Completed,Card
ORD000034,,,2025-07-27,Completed,Card
ORD000035,,,2024-12-30,Completed,M-Pesa
ORD000036,,,2024-09-20,Completed,M-Pesa
ORD000037,,,2025-01-08,Completed,Cash
ORD000038,,,2024-12-11,Completed,M-Pesa
ORD000039,,,2024-01-24,Completed,Bank Transfer
ORD000040,,,2024-10-17,Completed,M-Pesa
ORD000041,,,2025-07-02,Completed,Cash
ORD000042,,,2024-04-22,Completed,M-Pesa
ORD000043,,,2024-10-03,Completed,M-Pesa
ORD000044,,,2024-06-06,Completed,M-Pesa
ORD000045,,,2025-06-17,Completed,M-Pesa
ORD000046,,,2024-07-11,Completed,M-Pesa
ORD000047,,,2025-07-21,Completed,M-Pesa
ORD000048,,,2024-10-21,Cancelled,Card
ORD000049,,,2024-01-11,Completed,Card
ORD000050,,,2025-02-17,Completed,Cash
ORD000051,,,2024-06-22,Completed,M-Pesa
ORD000052,,,2024-07-01,Completed,M-Pesa
ORD000053,,,2024-12-25,Completed,Card
ORD000054,,,2024-04-10,Completed,M-Pesa
ORD000055,,,2024-11-22,Completed,Card
ORD000056,,,2024-02-23,Completed,Card
ORD000057,,,2024-08-09,Completed,Cash
ORD000058,,,2024-07-13,Completed,M-Pesa
ORD000059,,,2025-11-28,Cancelled,M-Pesa
ORD000060,,,2024-04-26,Completed,Cash
ORD000061,,,2025-12-20,Completed,M-Pesa
ORD000062,,,2024-12-05,Completed,M-Pesa
ORD000063,,,2025-11-09,Completed,Card
ORD000064,,,2024-12-06,Completed,Card
ORD000065,,,2025-11-25,Completed,M-Pesa
ORD000066,,,2024-11-25,Completed,M-Pesa
ORD000067,,,2025-03-06,Completed,Card
ORD000068,,,2025-02-19,Completed,M-Pesa
ORD000069,,,2024-11-17,Completed,M-Pesa
ORD000070,,,2025-06-19,Completed,Cash
ORD000071,,,2025-02-22,Completed,M-Pesa
ORD000072,,,2025-08-08,Cancelled,Card
ORD000073,,,2025-09-15,Completed,Card
ORD000074,,,2024-08-23,Completed,Card
ORD000075,,,2025-07-19,Completed,M-Pesa
ORD000076,,,2024-07-20,Completed,M-Pesa
ORD000077,,,2025-08-04,Returned,Bank Transfer
ORD000078,,,2025-12-19,Completed,Card
ORD000079,,,2024-01-06,Returned,Bank Transfer
ORD000080,,,2024-01-16,Completed,M-Pesa
ORD000081,,,2025-07-07,Completed,Cash
ORD000082,,,2025-02-01,Completed,M-Pesa
ORD000083,,,2025-09-11,Cancelled,Card
ORD000084,,,2024-01-25,Completed,M-Pesa
ORD000085,,,2025-04-06,Completed,M-Pesa
ORD000086,,,2025-10-08,Completed,M-Pesa
ORD000087,,,2024-09-08,Completed,M-Pesa
ORD000088,,,2024-07-06,Completed,M-Pesa
ORD000089,,,2025-06-17,Completed,M-Pesa
ORD000090,,,2025-06-22,Completed,M-Pesa
ORD000091,,,2024-05-21,Completed,Card
ORD000092,,,2024-12-30,Returned,Card
ORD000093,,,2024-03-04,Completed,M-Pesa
ORD000094,,,2025-04-20,Completed,Cash
ORD000095,,,2025-04-15,Completed,Card
ORD000096,,,2024-03-10,Completed,M-Pesa
ORD000097,,,2024-02-09,Completed,Card
ORD000098,,,2025-06-14,Cancelled,Bank Transfer
ORD000099,,,2025-11-13,Completed,Card
ORD000100,,,2024-08-27,Completed,Bank Transfer
ORD000101,,,2024-12-20,Completed,Bank Transfer
ORD000102,,,2025-09-30,Completed,M-Pesa
ORD000103,,,2025-01-15,Cancelled,Card
ORD000104,,,2024-02-21,Completed,Card
ORD000105,,,2025-04-03,Completed,Bank Transfer
ORD000106,,,2025-10-27,Completed,Card
ORD000107,,,2025-07-29,Completed,Cash
ORD000108,,,2024-10-10,Completed,M-Pesa
ORD000109,,,2025-11-21,Cancelled,M-Pesa
ORD000110,,,2024-12-02,Completed,M-Pesa
ORD000111,,,2024-03-09,Completed,M-Pesa
ORD000112,,,2024-02-17,Completed,Cash
ORD000113,,,2024-10-05,Completed,Cash
