order_id,customer_id,store_id,order_date,order_status,payment_method
ORD000001,CUST16623,ST006,2024-05-26,Completed,M-Pesa
ORD000002,CUST10817,ST016,2025-01-21,Completed,M-Pesa
ORD000003,CUST01773,ST016,2024-07-03,Completed,Card
ORD000004,CUST18477,ST001,2025-06-19,Completed,M-Pesa
ORD000005,CUST00044,ST004,2024-10-25,Completed,Card
ORD000006,CUST08360,ST007,2024-05-05,Completed,Bank Transfer
ORD000007,CUST02671,ST011,2025-11-16,Completed,M-Pesa
ORD000008,CUST07481,ST001,2024-02-03,Completed,M-Pesa
ORD000009,CUST06093,ST002,2025-12-14,Completed,Card
ORD000010,CUST16296,ST003,2025-11-01,Completed,Cash
ORD000011,CUST18511,ST011,2024-10-09,Completed,Card
ORD000012,CUST18498,ST010,2024-01-10,Cancelled,Cash
ORD000013,CUST03398,ST013,2024-05-24,Completed,Card
ORD000014,CUST02292,ST015,2025-07-06,Completed,M-Pesa
ORD000015,CUST13121,ST014,2025-08-09,Completed,M-Pesa
ORD000016,CUST02852,ST009,2025-05-19,Completed,Card
ORD000017,CUST01102,ST008,2025-10-29,Cancelled,Cash
ORD000018,CUST07478,ST004,2024-03-06,Completed,Card
ORD000019,CUST17280,ST009,2024-04-28,Completed,Bank Transfer
ORD000020,CUST00962,ST017,2024-02-18,Completed,M-Pesa
ORD000021,CUST12419,ST001,2025-04-03,Completed,M-Pesa
ORD000022,CUST00780,ST005,2024-12-05,Completed,M-Pesa
ORD000023,CUST10067,ST005,2024-10-17,Completed,Bank Transfer
ORD000024,CUST02654,ST009,2025-04-05,Completed,M-Pesa
ORD000025,CUST16767,ST016,2024-07-17,Completed,M-Pesa
ORD000026,CUST05398,ST018,2025-03-10,Completed,Cash
ORD000027,CUST07607,ST010,2025-07-27,Completed,M-Pesa
ORD000028,CUST03444,ST006,2024-04-25,Completed,M-Pesa
ORD000029,CUST19241,ST009,2025-03-05,Completed,Card
ORD000030,CUST15304,ST014,2025-08-10,Completed,Card
ORD000031,CUST19179,ST015,2025-12-27,Returned,M-Pesa
ORD000032,CUST00381,ST016,2025-01-16,Completed,M-Pesa
ORD000033,CUST08894,ST004,2024-03-26,Completed,Card
ORD000034,CUST19418,ST015,2025-07-27,Completed,Card
ORD000035,CUST05578,ST013,2024-12-30,Completed,M-Pesa
ORD000036,CUST13682,ST012,2024-09-20,Completed,M-Pesa
ORD000037,CUST13813,ST002,2025-01-08,Completed,Cash
ORD000038,CUST07298,ST003,2024-12-11,Completed,M-Pesa
ORD000039,CUST06428,ST001,2024-01-24,Completed,Bank Transfer
ORD000040,CUST14235,ST004,2024-10-17,Completed,M-Pesa
ORD000041,CUST04716,ST008,2025-07-02,Completed,Cash
ORD000042,CUST16152,ST001,2024-04-22,Completed,M-Pesa
ORD000043,CUST08594,ST003,2024-10-03,Completed,M-Pesa
ORD000044,CUST10067,ST020,2024-06-06,Completed,M-Pesa
ORD000045,CUST14835,ST008,2025-06-17,Completed,M-Pesa
ORD000046,CUST06606,ST016,2024-07-11,Completed,M-Pesa
