order_item_id,order_id,product_id,quantity,unit_price,discount
ITEM0000001,ORD000001,PR052,2,2735.7,0.1
ITEM0000002,ORD000002,PR042,1,4725.29,0.0
ITEM0000003,ORD000003,PR052,2,2816.53,0.1
ITEM0000004,ORD000003,PR060,1,2675.03,0.05
ITEM0000005,ORD000004,PR073,1,2355.92,0.05
ITEM0000006,ORD000004,PR061,1,1267.38,0.0
ITEM0000007,ORD000005,PR073,1,2331.03,0.05
ITEM0000008,ORD000006,PR085,1,984.65,0.05
ITEM0000009,ORD000006,PR036,2,5766.39,0.05
ITEM0000010,ORD000007,PR070,3,9780.07,0.15
ITEM0000011,ORD000007,PR056,1,4500.91,0.0
ITEM0000012,ORD000008,PR024,1,26848.8,0.1
ITEM0000013,ORD000008,PR027,2,21697.52,0.05
ITEM0000014,ORD000009,PR038,1,6015.86,0.1
ITEM0000015,ORD000009,PR008,3,59385.32,0.15
ITEM0000016,ORD000010,PR011,1,7698.51,0.0
ITEM0000017,ORD000010,PR076,1,1934.85,0.05
ITEM0000018,ORD000010,PR052,3,2848.41,0.1
ITEM0000019,ORD000011,PR001,1,6465.74,0.05
ITEM0000020,ORD000011,PR015,4,3947.37,0.1
ITEM0000021,ORD000012,PR098,1,687.97,0.0
ITEM0000022,ORD000012,PR037,1,8667.26,0.0
ITEM0000023,ORD000012,PR039,1,4794.97,0.15
ITEM0000024,ORD000012,PR083,3,371.99,0.1
ITEM0000025,ORD000012,PR085,5,1012.55,0.1
ITEM0000026,ORD000013,PR053,3,2492.05,0.05
ITEM0000027,ORD000014,PR012,1,11444.71,0.1
ITEM0000028,ORD000015,PR093,1,711.98,0.1
ITEM0000029,ORD000016,PR072,1,1285.75,0.1
ITEM0000030,ORD000016,PR054,4,7174.38,0.0
ITEM0000031,ORD000017,PR003,1,3278.5,0.0
ITEM0000032,ORD000018,PR013,1,7374.0,0.0
ITEM0000033,ORD000019,PR048,2,3283.95,0.05
ITEM0000034,ORD000020,PR041,1,4597.99,0.05
ITEM0000035,ORD000020,PR018,3,10313.12,0.1
ITEM0000036,ORD000021,PR085,1,1009.5,0.1
ITEM0000037,ORD000021,PR083,2,368.2,0.0
ITEM0000038,ORD000022,PR042,3,4595.38,0.1
ITEM0000039,ORD000023,PR007,1,2614.97,0.0
ITEM0000040,ORD000023,PR053,1,2554.38,0.15
ITEM0000041,ORD000024,PR039,1,4706.62,0.1
ITEM0000042,ORD000024,PR056,2,4384.86,0.0
ITEM0000043,ORD000025,PR094,1,1024.5,0.0
ITEM0000044,ORD000026,PR041,1,4583.4,0.0
ITEM0000045,ORD000027,PR038,1,6097.26,0.05
ITEM0000046,ORD000028,PR088,4,957.4,0.0
ITEM0000047,ORD000029,PR010,1,105634.67,0.0
ITEM0000048,ORD000030,PR072,2,1294.73,0.2
ITEM0000049,ORD000031,PR025,3,4762.62,0.1
ITEM0000050,ORD000031,PR022,5,7984.77,0.0
ITEM0000051,ORD000032,PR042,4,4674.16,0.1
ITEM0000052,ORD000032,PR090,1,387.5,0.15
ITEM0000053,ORD000033,PR093,5,727.36,0.0
ITEM0000054,ORD000033,PR056,1,4410.23,0.0
ITEM0000055,ORD000033,PR042,2,4659.37,0.2
ITEM0000056,ORD000034,PR073,2,2381.29,0.2
ITEM0000057,ORD000035,PR098,1,676.92,0.1
ITEM0000058,ORD000035,PR022,2,7960.54,0.0
ITEM0000059,ORD000036,PR014,2,9134.89,0.15
ITEM0000060,ORD000036,PR034,1,3068.35,0.1
ITEM0000061,ORD000036,PR088,1,934.84,0.0
ITEM0000062,ORD000036,PR058,1,9873.92,0.05
ITEM0000063,ORD000037,PR009,2,5504.88,0.0
ITEM0000064,ORD000037,PR009,4,5672.78,0.0
ITEM0000065,ORD000037,PR017,1,6887.94,0.0
ITEM0000066,ORD000037,PR051,1,9632.91,0.0
ITEM0000067,ORD000037,PR002,1,63579.35,0.0
ITEM0000068,ORD000038,PR001,1,6682.03,0.1
ITEM0000069,ORD000038,PR027,1,21653.96,0.2
ITEM0000070,ORD000038,PR088,1,918.18,0.0
ITEM0000071,ORD000039,PR060,4,2589.51,0.0
