target_id,store_id,month,revenue_target,profit_target
TGT00001,ST001,2024-01-01,3484.1,651.48
TGT00002,ST002,2024-01-01,3226.02,729.11
TGT00003,ST003,2024-01-01,2967.94,682.75
TGT00004,ST004,2024-01-01,2709.85,580.85
TGT00005,ST005,2024-01-01,2451.77,543.0
TGT00006,ST006,2024-01-01,2322.73,473.29
TGT00007,ST007,2024-01-01,2116.27,491.3
TGT00008,ST008,2024-01-01,2838.89,571.03
TGT00009,ST009,2024-01-01,2529.2,459.14
TGT00010,ST010,2024-01-01,1858.19,383.78
TGT00011,ST011,2024-01-01,2632.43,553.38
TGT00012,ST012,2024-01-01,2374.35,507.79
TGT00013,ST013,2024-01-01,2013.03,370.38
TGT00014,ST014,2024-01-01,2064.65,412.1
TGT00015,ST015,2024-01-01,2787.28,511.7
TGT00016,ST016,2024-01-01,2425.96,547.84
TGT00017,ST017,2024-01-01,2580.81,578.12
TGT00018,ST018,2024-01-01,2271.12,436.09
TGT00019,ST019,2024-01-01,1961.42,441.42
TGT00020,ST020,2024-01-01,1883.99,362.26
TGT00021,ST001,2024-02-01,3561.52,849.3
TGT00022,ST002,2024-02-01,3297.71,616.48
TGT00023,ST003,2024-02-01,3033.89,702.85
TGT00024,ST004,2024-02-01,2770.07,647.83
TGT00025,ST005,2024-02-01,2506.26,520.3
TGT00026,ST006,2024-02-01,2374.35,488.44
TGT00027,ST007,2024-02-01,2163.3,471.82
TGT00028,ST008,2024-02-01,2901.98,656.78
TGT00029,ST009,2024-02-01,2585.4,611.59
TGT00030,ST010,2024-02-01,1899.48,402.15
TGT00031,ST011,2024-02-01,2690.93,552.71
TGT00032,ST012,2024-02-01,2427.11,439.44
TGT00033,ST013,2024-02-01,2057.77,377.38
TGT00034,ST014,2024-02-01,2110.53,389.89
TGT00035,ST015,2024-02-01,2849.22,597.42
TGT00036,ST016,2024-02-01,2479.87,564.82
TGT00037,ST017,2024-02-01,2638.16,567.4
TGT00038,ST018,2024-02-01,2321.58,519.97
TGT00039,ST019,2024-02-01,2005.01,471.44
TGT00040,ST020,2024-02-01,1925.86,382.65
TGT00041,ST001,2024-03-01,3793.8,885.1
TGT00042,ST002,2024-03-01,3512.77,791.39
TGT00043,ST003,2024-03-01,3231.75,634.14
TGT00044,ST004,2024-03-01,2950.73,621.81
TGT00045,ST005,2024-03-01,2669.71,617.92
TGT00046,ST006,2024-03-01,2529.2,555.57
TGT00047,ST007,2024-03-01,2304.38,428.23
TGT00048,ST008,2024-03-01,3091.24,724.58
TGT00049,ST009,2024-03-01,2754.01,638.73
TGT00050,ST010,2024-03-01,2023.36,476.96
TGT00051,ST011,2024-03-01,2866.42,621.45
TGT00052,ST012,2024-03-01,2585.4,500.45
TGT00053,ST013,2024-03-01,2191.97,396.68
TGT00054,ST014,2024-03-01,2248.18,514.18
TGT00055,ST015,2024-03-01,3035.04,617.56
TGT00056,ST016,2024-03-01,2641.61,612.8
TGT00057,ST017,2024-03-01,2810.22,528.7
TGT00058,ST018,2024-03-01,2472.99,457.63
TGT00059,ST019,2024-03-01,2135.77,505.54
TGT00060,ST020,2024-03-01,2051.46,445.98
TGT00061,ST001,2024-04-01,3871.22,735.4
TGT00062,ST002,2024-04-01,3584.46,703.54
TGT00063,ST003,2024-04-01,3297.71,723.73
TGT00064,ST004,2024-04-01,3010.95,575.3
TGT00065,ST005,2024-04-01,2724.19,570.02
TGT00066,ST006,2024-04-01,2580.81,474.35
TGT00067,ST007,2024-04-01,2351.41,437.72
TGT00068,ST008,2024-04-01,3154.33,731.77
TGT00069,ST009,2024-04-01,2810.22,600.91
TGT00070,ST010,2024-04-01,2064.65,493.77
TGT00071,ST011,2024-04-01,2924.92,678.21
TGT00072,ST012,2024-04-01,2638.16,612.72
TGT00073,ST013,2024-04-01,2236.7,467.69
TGT00074,ST014,2024-04-01,2294.06,449.6
TGT00075,ST015,2024-04-01,3096.98,574.75
TGT00076,ST016,2024-04-01,2695.52,507.89
TGT00077,ST017,2024-04-01,2867.57,543.13
TGT00078,ST018,2024-04-01,2523.46,508.95
TGT00079,ST019,2024-04-01,2179.35,442.89
TGT00080,ST020,2024-04-01,2093.33,425.69
TGT00081,ST001,2024-05-01,4026.07,943.76
TGT00082,ST002,2024-05-01,3727.84,856.23
TGT00083,ST003,2024-05-01,3429.61,670.7
TGT00084,ST004,2024-05-01,3131.39,667.93
TGT00085,ST005,2024-05-01,2833.16,676.13
TGT00086,ST006,2024-05-01,2684.05,629.37
TGT00087,ST007,2024-05-01,2445.46,440.66
TGT00088,ST008,2024-05-01,3280.5,692.25
TGT00089,ST009,2024-05-01,2922.63,625.69
TGT00090,ST010,2024-05-01,2147.24,390.64
TGT00091,ST011,2024-05-01,3041.92,630.07
TGT00092,ST012,2024-05-01,2743.69,536.86
TGT00093,ST013,2024-05-01,2326.17,527.12
TGT00094,ST014,2024-05-01,2385.82,438.3
TGT00095,ST015,2024-05-01,3220.86,686.44
TGT00096,ST016,2024-05-01,2803.34,649.27
TGT00097,ST017,2024-05-01,2982.27,595.95
TGT00098,ST018,2024-05-01,2624.4,598.91
TGT00099,ST019,2024-05-01,2266.53,513.25
TGT00100,ST020,2024-05-01,2177.06,411.52
TGT00101,ST001,2024-06-01,3871.22,851.35
TGT00102,ST002,2024-06-01,3584.46,758.29
TGT00103,ST003,2024-06-01,3297.71,765.56
TGT00104,ST004,2024-06-01,3010.95,688.31
TGT00105,ST005,2024-06-01,2724.19,635.5
TGT00106,ST006,2024-06-01,2580.81,615.24
TGT00107,ST007,2024-06-01,2351.41,457.5
TGT00108,ST008,2024-06-01,3154.33,598.55
TGT00109,ST009,2024-06-01,2810.22,610.53
TGT00110,ST010,2024-06-01,2064.65,463.4
TGT00111,ST011,2024-06-01,2924.92,690.27
TGT00112,ST012,2024-06-01,2638.16,480.24
TGT00113,ST013,2024-06-01,2236.7,536.54
TGT00114,ST014,2024-06-01,2294.06,535.27
TGT00115,ST015,2024-06-01,3096.98,664.78
TGT00116,ST016,2024-06-01,2695.52,529.51
