customer_id,customer_name,age,city,segment,signup_date
C00001,Customer 0001,56.0,Nairobi,Wholesale,2025-11-17
C00002,Customer 0002,69.0,Nairobi,Business,2024-12-30
C00003,Customer 0003,46.0,Nairobi,Consumer,2024-06-11
C00004,Customer 0004,32.0,Nairobi,Business,2024-02-17
C00005,Customer 0005,60.0,Mombasa,Business,2025-05-25
C00006,Customer 0006,25.0,Eldoret,Business,2024-11-24
C00007,Customer 0007,38.0,Kisumu,Consumer,2024-04-25
C00008,Customer 0008,56.0,Kisumu,Wholesale,2024-12-02
C00009,Customer 0009,36.0,Kisumu,Wholesale,2024-05-26
C00010,Customer 0010,40.0,Kisumu,Consumer,2025-07-28
C00011,Customer 0011,28.0,Mombasa,Business,2024-11-18
C00012,Customer 0012,,Nakuru,Consumer,2025-03-18
C00013,Customer 0013,41.0,Eldoret,Consumer,2024-01-13
C00014,Customer 0014,70.0,Nairobi,Consumer,2025-05-08
C00015,Customer 0015,53.0,Nakuru,Business,2025-12-01
C00016,Customer 0016,57.0,Kisumu,Consumer,2024-10-13
C00017,Customer 0017,41.0,Nakuru,Business,2025-12-20
C00018,Customer 0018,20.0,Eldoret,Consumer,2024-04-23
C00019,Customer 0019,39.0,Nairobi,Wholesale,2025-04-24
C00020,Customer 0020,70.0,Nairobi,Consumer,2024-01-22
C00021,Customer 0021,19.0,Eldoret,Consumer,2024-12-14
C00022,Customer 0022,41.0,Eldoret,Wholesale,2025-12-26
C00023,Customer 0023,61.0,Kisumu,Business,2025-11-13
C00024,Customer 0024,47.0,Nairobi,Business,2025-07-19
C00025,Customer 0025,55.0,Nakuru,Consumer,2024-11-15
C00026,Customer 0026,19.0,Mombasa,Wholesale,2024-05-05
C00027,Customer 0027,38.0,Mombasa,Business,2024-10-03
C00028,Customer 0028,50.0,Eldoret,Consumer,2024-07-22
C00029,Customer 0029,29.0,Kisumu,Wholesale,2024-07-12
C00030,Customer 0030,39.0,Mombasa,Business,2025-11-11
C00031,Customer 0031,61.0,Nairobi,Business,2025-10-25
C00032,Customer 0032,42.0,Eldoret,Wholesale,2025-06-30
C00033,Customer 0033,66.0,Nakuru,Wholesale,2025-11-26
C00034,Customer 0034,44.0,Eldoret,Wholesale,2024-10-12
C00035,Customer 0035,-4.0,Nakuru,Wholesale,2024-02-26
C00036,Customer 0036,45.0,Eldoret,Consumer,2024-10-29
C00037,Customer 0037,33.0,Eldoret,Wholesale,2024-06-11
C00038,Customer 0038,32.0,Eldoret,Business,2024-01-19
C00039,Customer 0039,64.0,Nakuru,Business,2025-01-04
C00040,Customer 0040,68.0,Nakuru,Consumer,2024-09-20
C00041,Customer 0041,61.0,Eldoret,Business,2024-04-22
C00042,Customer 0042,69.0,Mombasa,Business,2025-05-02
C00043,Customer 0043,20.0,Kisumu,Wholesale,2024-11-22
C00044,Customer 0044,54.0,Kisumu,Business,2025-06-25
C00045,Customer 0045,68.0,Kisumu,Consumer,2025-10-08
C00046,Customer 0046,24.0,Nakuru,Wholesale,2025-08-01
C00047,Customer 0047,38.0,Nakuru,Wholesale,2024-03-05
C00048,Customer 0048,26.0,Mombasa,Consumer,2024-10-18
C00049,Customer 0049,56.0,Kisumu,Wholesale,2024-01-25
C00050,Customer 0050,35.0,Kisumu,Wholesale,2025-07-02
C00051,Customer 0051,21.0,Eldoret,Consumer,2024-01-01
C00052,Customer 0052,42.0,Nakuru,Wholesale,2025-07-02
C00053,Customer 0053,31.0,Kisumu,Consumer,2024-05-20
C00054,Customer 0054,67.0,Mombasa,Consumer,2025-10-09
C00055,Customer 0055,26.0,Mombasa,Business,2024-07-06
C00056,Customer 0056,43.0,Kisumu,Business,2024-05-07
C00057,Customer 0057,70.0,Nakuru,Wholesale,2024-07-19
C00058,Customer 0058,,Mombasa,Wholesale,2024-05-06
C00059,Customer 0059,37.0,Eldoret,Consumer,2024-09-13
C00060,Customer 0060,45.0,Mombasa,Wholesale,2025-11-06
C00061,Customer 0061,64.0,Nairobi,Consumer,2025-06-30
C00062,Customer 0062,24.0,Nairobi,Consumer,2024-07-12
C00063,Customer 0063,61.0,Nakuru,Wholesale,2025-12-03
C00064,Customer 0064,25.0,Kisumu,Consumer,2024-04-13
C00065,Customer 0065,64.0,Nakuru,Business,2025-06-18
C00066,Customer 0066,52.0,Nakuru,Wholesale,2024-09-21
C00067,Customer 0067,31.0,Nakuru,Business,2025-01-18
C00068,Customer 0068,34.0,Nakuru,Wholesale,2024-09-16
C00069,Customer 0069,53.0,Eldoret,Consumer,2025-02-17
C00070,Customer 0070,67.0,Eldoret,Wholesale,2024-12-23
C00071,Customer 0071,57.0,Mombasa,Business,2024-03-15
C00072,Customer 0072,21.0,Nairobi,Consumer,2024-12-20
C00073,Customer 0073,19.0,Nakuru,Wholesale,2025-08-06
C00074,Customer 0074,23.0,Mombasa,Wholesale,2024-07-06
C00075,Customer 0075,59.0,Nairobi,Wholesale,2025-11-15
C00076,Customer 0076,21.0,Kisumu,Business,2024-10-16
C00077,Customer 0077,46.0,Eldoret,Business,2024-02-14
C00078,Customer 0078,35.0,Nairobi,Wholesale,2025-07-26
C00079,Customer 0079,43.0,Kisumu,Consumer,2024-03-23
C00080,Customer 0080,61.0,Nairobi,Consumer,2024-05-02
C00081,Customer 0081,51.0,Eldoret,Business,2024-12-23
C00082,Customer 0082,27.0,Eldoret,Consumer,2025-06-11
C00083,Customer 0083,53.0,Mombasa,Business,2024-03-06
C00084,Customer 0084,31.0,Nakuru,Wholesale,2025-10-18
C00085,Customer 0085,48.0,Nairobi,Business,2025-01-09
C00086,Customer 0086,65.0,Nairobi,Business,2024-06-10
C00087,Customer 0087,32.0,Kisumu,Wholesale,2025-01-14
C00088,Customer 0088,25.0,Eldoret,Consumer,2025-10-17
C00089,Customer 0089,31.0,Nairobi,Business,2024-12-23
C00090,Customer 0090,40.0,Eldoret,Business,2024-07-06
C00091,Customer 0091,143.0,Nairobi,Wholesale,2024-11-17
C00092,Customer 0092,38.0,Mombasa,Consumer,2025-03-25
C00093,Customer 0093,33.0,Nakuru,Business,2025-04-18
C00094,Customer 0094,62.0,Nairobi,Wholesale,2024-01-13
C00095,Customer 0095,35.0,Eldoret,Business,2024-07-02
C00096,Customer 0096,64.0,Mombasa,Wholesale,2024-04-20
C00097,Customer 0097,70.0,Nairobi,Consumer,2025-05-22
C00098,Customer 0098,41.0,Kisumu,Consumer,2024-10-16
C00099,Customer 0099,43.0,Nakuru,Consumer,2024-10-21
C00100,Customer 0100,42.0,Nairobi,Consumer,2025-03-26
C00101,Customer 0101,62.0,Mombasa,Business,2024-08-02
C00102,Customer 0102,58.0,Kisumu,Business,2025-09-23
C00103,Customer 0103,46.0,Mombasa,Consumer,2025-07-20
C00104,Customer 0104,32.0,Mombasa,Consumer,2024-01-27
C00105,Customer 0105,62.0,Kisumu,Consumer,2025-09-21
C00106,Customer 0106,18.0,Mombasa,Business,2024-08-18
C00107,Customer 0107,42.0,Kisumu,Consumer,2025-07-18
C00108,Customer 0108,24.0,Nairobi,Consumer,2024-11-16
C00109,Customer 0109,26.0,Kisumu,Consumer,2024-08-20
C00110,Customer 0110,41.0,Kisumu,Wholesale,2025-10-31
C00111,Customer 0111,18.0,Nakuru,Consumer,2025-03-12
C00112,Customer 0112,61.0,Kisumu,Wholesale,2025-06-16
C00113,Customer 0113,25.0,Kisumu,Wholesale,2025-02-06
C00114,Customer 0114,41.0,Nairobi,Consumer,2024-02-22
C00115,Customer 0115,28.0,Nakuru,Wholesale,2024-11-08
C00116,Customer 0116,68.0,Eldoret,Consumer,2024-10-07
C00117,Customer 0117,34.0,Nairobi,Business,2025-12-26
C00118,Customer 0118,25.0,Nairobi,Business,2024-01-31
C00119,Customer 0119,52.0,Eldoret,Business,2024-12-02
C00120,Customer 0120,52.0,Kisumu,Business,2024-07-01
C00121,Customer 0121,50.0,Mombasa,Wholesale,2024-01-23
C00122,Customer 0122,22.0,Nakuru,Consumer,2025-06-27
C00123,Customer 0123,59.0,Mombasa,Consumer,2025-03-21
C00124,Customer 0124,56.0,Eldoret,Consumer,2024-03-14
C00125,Customer 0125,58.0,Nairobi,Business,2024-01-10
C00126,Customer 0126,45.0,Nairobi,Business,2025-04-28
C00127,Customer 0127,24.0,Nakuru,Consumer,2025-03-31
C00128,Customer 0128,26.0,Nairobi,Business,2025-07-19
C00129,Customer 0129,25.0,Nairobi,Consumer,2025-07-17
C00130,Customer 0130,29.0,Nakuru,Consumer,2025-10-21
C00131,Customer 0131,51.0,Nakuru,Consumer,2024-06-08
C00132,Customer 0132,50.0,Eldoret,Consumer,2024-01-14
C00133,Customer 0133,65.0,Nairobi,Consumer,2024-06-26
C00134,Customer 0134,40.0,Nairobi,Consumer,2025-02-15
C00135,Customer 0135,41.0,Eldoret,Consumer,2024-02-22
C00136,Customer 0136,54.0,Kisumu,Business,2025-02-11
C00137,Customer 0137,52.0,Kisumu,Consumer,2024-01-22
C00138,Customer 0138,61.0,Kisumu,Consumer,2024-01-30
C00139,Customer 0139,57.0,Eldoret,Business,2025-12-03
C00140,Customer 0140,39.0,Nairobi,Business,2024-09-16
C00141,Customer 0141,44.0,Eldoret,Business,2024-07-23
C00142,Customer 0142,52.0,Eldoret,Consumer,2024-02-28
C00143,Customer 0143,18.0,Kisumu,Wholesale,2025-04-15
C00144,Customer 0144,52.0,Mombasa,Wholesale,2025-04-10
C00145,Customer 0145,54.0,Nairobi,Business,2024-01-12
C00146,Customer 0146,64.0,Kisumu,Wholesale,2025-09-22
C00147,Customer 0147,31.0,Mombasa,Business,2024-10-16
C00148,Customer 0148,20.0,Mombasa,Consumer,2024-12-19
C00149,Customer 0149,18.0,Nakuru,Wholesale,2025-09-30
C00150,Customer 0150,22.0,Nairobi,Consumer,2024-03-15
