order_item_id,order_id,product_id,quantity,discount
LI000001,O001842,P0019,4.0,0.055
LI000002,O002649,P0054,4.0,0.044
LI000003,O001691,P0001,3.0,0.042
LI000004,O003486,P0119,5.0,0.064
LI000005,O005560,P0107,2.0,0.132
LI000006,O001257,P0119,1.0,0.177
LI000007,O004289,P0013,4.0,0.095
LI000008,O005219,P0050,,0.112
LI000009,O006071,P0053,4.0,0.198
LI000010,O003185,P0116,2.0,0.131
LI000011,O001643,P0042,5.0,0.147
LI000012,O003353,P0109,3.0,0.129
LI000013,O005096,P0025,2.0,0.197
LI000014,O005836,P0044,4.0,0.046
LI000015,O000523,P0109,5.0,0.245
LI000016,O004446,P0098,5.0,0.22
LI000017,O006460,P0099,1.0,0.1
LI000018,O005837,P0061,1.0,0.104
LI000019,O001945,P0081,1.0,0.212
LI000020,O003572,P0090,3.0,0.111
LI000021,O001561,P0021,5.0,0.127
LI000022,O004748,P0051,5.0,0.186
LI000023,O004731,P0076,4.0,0.097
LI000024,O003595,P0080,3.0,0.114
LI000025,O005898,P0052,1.0,0.009
LI000026,O000593,P0063,5.0,0.033
LI000027,O003894,P0084,1.0,0.115
LI000028,O002669,P0054,2.0,0.011
LI000029,O005328,P0010,3.0,0.077
LI000030,O003903,P0087,1.0,0.109
LI000031,O000756,P0119,3.0,0.025
LI000032,O001300,P0111,5.0,0.016
LI000033,O000497,P0094,2.0,0.004
LI000034,O004869,P0059,4.0,0.121
LI000035,O002422,P0008,2.0,0.037
LI000036,O001599,P0051,3.0,0.172
LI000037,O004280,P0005,2.0,0.123
LI000038,O004128,P0076,5.0,0.005
LI000039,O004379,P0042,3.0,0.015
LI000040,O004932,P0118,3.0,0.229
LI000041,O005552,P0078,5.0,0.031
LI000042,O003591,P0118,1.0,0.189
LI000043,O004782,P0012,4.0,0.062
LI000044,O000462,P0024,2.0,0.08
LI000045,O004967,P0045,4.0,0.006
LI000046,O000368,P0053,4.0,0.139
LI000047,O002706,P0053,5.0,0.117
LI000048,O003324,P0017,1.0,0.186
LI000049,O000166,P0065,4.0,0.226
LI000050,O003687,P0118,3.0,0.137
LI000051,O004083,P0106,1.0,0.238
LI000052,O003048,P0058,5.0,0.037
LI000053,O001729,P0037,4.0,0.086
LI000054,O004698,P0075,5.0,0.207
LI000055,O003670,P0042,2.0,0.138
LI000056,O003175,P0070,5.0,0.137
LI000057,O002174,P0079,3.0,0.115
LI000058,O000038,P0105,5.0,0.005
LI000059,O004444,P0040,1.0,0.02
LI000060,O005333,P0023,2.0,0.022
LI000061,O002022,P0023,3.0,0.047
LI000062,O000734,P0102,2.0,0.024
LI000063,O004522,P0102,3.0,0.027
LI000064,O005367,P0049,2.0,0.159
LI000065,O000648,P0076,4.0,0.03
LI000066,O006430,P0007,5.0,0.116
LI000067,O003303,P0037,1.0,0.016
LI000068,O000320,P0016,1.0,0.067
LI000069,O004608,P0119,4.0,0.231
LI000070,O006369,P0038,2.0,0.008
LI000071,O002554,P0104,5.0,0.219
LI000072,O003179,P0099,4.0,0.19
LI000073,O001723,P0040,2.0,0.23
LI000074,O001757,P0029,5.0,0.197
LI000075,O003679,P0103,2.0,0.207
LI000076,O003779,P0017,1.0,0.027
LI000077,O005874,P0115,5.0,0.209
LI000078,O002516,P0090,1.0,0.119
LI000079,O005636,P0020,1.0,0.088
LI000080,O003848,P0110,5.0,0.038
LI000081,O000938,P0025,4.0,0.0
LI000082,O000765,P0060,2.0,0.161
LI000083,O006307,P0038,5.0,0.182
LI000084,O000653,P0063,1.0,0.097
LI000085,O004081,P0039,2.0,0.041
LI000086,O003603,P0064,5.0,0.036
LI000087,O002130,P0101,4.0,0.042
LI000088,O004577,P0083,5.0,0.014
LI000089,O003965,P0021,-2.0,0.09
LI000090,O004612,P0032,3.0,0.154
LI000091,O005760,P0028,2.0,0.112
LI000092,O000187,P0103,5.0,0.031
LI000093,O000146,P0105,1.0,0.204
LI000094,O005102,P0012,1.0,0.072
LI000095,O004248,P0111,3.0,0.151
LI000096,O001387,P0079,1.0,0.061
