order_id,customer_id,order_date,store_id,status
O000001,C00953,2025-10-13,S06,Completed
O000002,C00904,2024-11-13,S10,Completed
O000003,C00072,2025-03-11,S08,Completed
O000004,C00107,2024-06-24,S03,Completed
O000005,C01066,2025-11-16,S02,Completed
O000006,C00883,,S03,Completed
O000007,C00139,2024-12-16,S09,Completed
O000008,C00615,2024-05-22,S06,Completed
O000009,C00863,2025-02-01,S10,Completed
O000010,C00273,2025-09-15,S04,Completed
O000011,C00416,2025-12-18,S10,Completed
O000012,C00506,2025-10-04,S03,Completed
O000013,C00733,2025-01-03,S02,Completed
O000014,C00424,2025-05-15,S04,Completed
O000015,C00390,2025-09-13,S09,Completed
O000016,C00342,2025-01-04,S04,Completed
O000017,C00946,2025-08-01,S05,Completed
O000018,C00614,2025-01-16,S08,Completed
O000019,C00493,2024-03-26,S02,Completed
O000020,C00192,2025-04-04,S03,Completed
O000021,C00499,2024-11-20,S06,Completed
O000022,C00822,2025-06-05,S07,Completed
O000023,C00227,2025-05-03,S04,Completed
O000024,C00139,2025-01-31,S01,Completed
O000025,C00856,2024-12-20,S07,Completed
O000026,C00817,2024-10-14,S09,Completed
O000027,C01173,2025-04-03,S01,Completed
O000028,C01139,2025-09-15,S01,Completed
O000029,C01087,2025-06-19,S01,Completed
O000030,C00104,2024-10-17,S10,Completed
O000031,C00871,2024-06-16,S07,Completed
O000032,C00668,2025-09-12,S09,Completed
O000033,C00273,2025-03-03,S03,Completed
O000034,C01030,,S08,Completed
O000035,C01171,2025-05-04,S09,Completed
O000036,C00184,2024-12-20,S03,Completed
O000037,C01052,2024-07-14,S03,Completed
O000038,C01143,2025-06-28,S01,Completed
O000039,C00293,2025-12-17,S02,Completed
O000040,C00177,2025-11-24,S07,Cancelled
O000041,C00058,2025-10-20,S03,Completed
O000042,C00308,2024-01-11,S07,Completed
O000043,C00977,2025-08-04,S05,Completed
O000044,C01129,2024-09-12,S10,Completed
O000045,C00700,2025-01-30,S08,Completed
O000046,C00083,2025-12-31,S05,Completed
O000047,C00252,2025-02-12,S03,Cancelled
O000048,C00796,2024-12-27,S09,Completed
O000049,C00897,2024-09-15,S07,Cancelled
O000050,C00210,2024-01-03,S05,Completed
O000051,C00816,2024-03-24,S07,Completed
O000052,C00609,2024-06-04,S10,Completed
O000053,C00447,2025-10-24,S09,Completed
O000054,C00460,2024-06-24,S05,Completed
O000055,C00968,2025-12-07,S07,Cancelled
O000056,C00472,2025-04-16,S09,Completed
O000057,C00370,2025-09-10,S01,Completed
O000058,C00900,2025-02-27,S04,Completed
O000059,C00923,2024-05-13,S01,Completed
O000060,C00137,2025-01-14,S08,Completed
O000061,C00367,2025-10-28,S03,Completed
O000062,C00912,2024-10-03,S02,Completed
O000063,C00184,2024-08-23,S04,Completed
O000064,C00472,2024-01-13,S03,Completed
O000065,C00654,2024-12-07,S05,Completed
O000066,C00749,2024-02-04,S08,Completed
O000067,C00537,2025-07-12,S10,Completed
O000068,C00802,2024-08-01,S08,Completed
O000069,C00920,2025-02-15,S07,Returned
O000070,C00510,2025-02-08,S08,Cancelled
O000071,C00630,2025-05-08,S05,Completed
O000072,C01002,2025-10-19,S10,Returned
O000073,C01097,2024-06-07,S10,Completed
O000074,C00916,2025-09-28,S06,Completed
O000075,C01034,2024-04-19,S08,Completed
O000076,C00152,2025-07-02,S01,Cancelled
O000077,C01029,2025-06-09,S06,Completed
O000078,C00464,2024-12-12,S06,Completed
O000079,C01137,2025-09-27,S05,Completed
O000080,C00271,2024-10-05,S04,Completed
O000081,C01187,2025-04-23,S01,Completed
O000082,C00460,2024-04-20,S10,Completed
O000083,C00105,2025-09-27,S08,Completed
O000084,C00162,2025-03-06,S06,Completed
O000085,C00351,2025-06-25,S03,Completed
O000086,C00434,2024-04-24,S03,Completed
O000087,C00852,2024-03-30,S06,Completed
O000088,C00140,2024-07-30,S07,Completed
O000089,C01156,2025-07-03,S08,Completed
O000090,C00087,2025-08-17,S05,Completed
O000091,C00183,2025-06-22,S10,Completed
O000092,C00368,2025-12-29,S06,Completed
O000093,C00129,2024-12-25,S01,Cancelled
O000094,C00670,2025-04-30,S06,Completed
O000095,C00149,2025-01-06,S09,Completed
O000096,C00985,2024-08-02,S10,Completed
O000097,C00852,2024-01-15,S04,Completed
O000098,C00628,2024-09-15,S10,Completed
O000099,C00446,2025-04-07,S01,Completed
O000100,C00884,2024-04-29,S09,Completed
O000101,C00294,2024-05-07,S04,Cancelled
O000102,C01167,2025-12-23,S02,Completed
O000103,C00250,2025-06-06,S01,Completed
O000104,C00878,2025-11-18,S03,Completed
O000105,C00948,2025-10-06,S07,Completed
O000106,C00975,2024-11-20,S10,Completed
O000107,C01049,2024-11-15,S02,Completed
O000108,C00789,2025-05-20,S09,Completed
O000109,C00984,2025-06-09,S02,Completed
O000110,C00889,2024-02-19,S05,Completed
O000111,C00890,2025-08-06,S08,Completed
O000112,C00070,2024-03-09,S10,Completed
O000113,C00625,2025-01-25,S08,Completed
